"typefully_id","draft_title","status","tags","created_at","updated_at","scheduled_date","published_at","typefully_url","platform","platform_post_index","platform_published_at","platform_published_url","media_ids","text"
"10677718","","scheduled","ai-engineering-buildcamp","2026-09-08T11:09:18.771Z","2026-09-08T13:05:36.047Z","2026-09-19T07:00:00Z","","https://typefully.com/?d=10677718&a=188312","x","1","","","cfb8f481-44f8-4e80-8938-b0b524dd9f4e","I built a Django to-do app in one prompt.

Cost: less than $1.

Here's what the coding agent did:

1. Created the project structure
- Generated Django project and app
- Set up settings and URLs
- Configured Tailwind CSS for styling

2. Built the data model
- Created a Todo model
- Wrote and ran migrations

3. Implemented views and URLs
- List all tasks
- Add new tasks
- Delete tasks

4. Generated styled templates
- Responsive design with Tailwind CSS
- Form for adding tasks
- Interactive task list

5. Verified everything works
- Checked for errors
- Confirmed the app runs

Total time: under 5 minutes.

I documented the complete implementation in my guide.

It covers:
- How function calling works
- Tool schemas and descriptions
- System prompt engineering
- Full Python code with toyaikit

Read it here: https://maven.com/alexey-grigorev/o/0a9e5c"
"10677718","","scheduled","ai-engineering-buildcamp","2026-09-08T11:09:18.771Z","2026-09-08T13:05:36.047Z","2026-09-19T07:00:00Z","","https://typefully.com/?d=10677718&a=188312","x","2","","","","Learn to build AI agents and apply new knowledge to create 15 projects from scratch on the AI Engineering Buildcamp.

Register here: https://maven.com/alexey-grigorev/from-rag-to-agents"
"10677718","","scheduled","ai-engineering-buildcamp","2026-09-08T11:09:18.771Z","2026-09-08T13:05:36.047Z","2026-09-19T07:00:00Z","","https://typefully.com/?d=10677718&a=188312","linkedin","1","","","cfb8f481-44f8-4e80-8938-b0b524dd9f4e","I built a Django to-do app in one prompt.

Cost: less than $1.

Here's what the coding agent did:

1. Created the project structure
- Generated Django project and app
- Set up settings and URLs
- Configured Tailwind CSS for styling

2. Built the data model
- Created a Todo model
- Wrote and ran migrations

3. Implemented views and URLs
- List all tasks
- Add new tasks
- Delete tasks

4. Generated styled templates
- Responsive design with Tailwind CSS
- Form for adding tasks
- Interactive task list

5. Verified everything works
- Checked for errors
- Confirmed the app runs

Total time: under 5 minutes.

I documented the complete implementation in my guide.

It covers:
- How function calling works
- Tool schemas and descriptions
- System prompt engineering
- Full Python code with toyaikit

Read it here: https://maven.com/alexey-grigorev/o/0a9e5c

Learn to build AI agents and apply new knowledge to create 15 projects from scratch on the AI Engineering Buildcamp.

Register here: https://maven.com/alexey-grigorev/from-rag-to-agents"
"10677718","","scheduled","ai-engineering-buildcamp","2026-09-08T11:09:18.771Z","2026-09-08T13:05:36.047Z","2026-09-19T07:00:00Z","","https://typefully.com/?d=10677718&a=188312","substack","1","","","cfb8f481-44f8-4e80-8938-b0b524dd9f4e","I built a Django to-do app in one prompt.

Cost: less than $1.

Here's what the coding agent did:

1. Created the project structure
- Generated Django project and app
- Set up settings and URLs
- Configured Tailwind CSS for styling

2. Built the data model
- Created a Todo model
- Wrote and ran migrations

3. Implemented views and URLs
- List all tasks
- Add new tasks
- Delete tasks

4. Generated styled templates
- Responsive design with Tailwind CSS
- Form for adding tasks
- Interactive task list

5. Verified everything works
- Checked for errors
- Confirmed the app runs

Total time: under 5 minutes.

I documented the complete implementation in my guide.

It covers:
- How function calling works
- Tool schemas and descriptions
- System prompt engineering
- Full Python code with toyaikit

Read it here: https://maven.com/alexey-grigorev/o/0a9e5c

Learn to build AI agents and apply new knowledge to create 15 projects from scratch on the AI Engineering Buildcamp.

Register here: https://maven.com/alexey-grigorev/from-rag-to-agents"
"8050596","Function Calling in Action","published","ai-engineering-buildcamp","2026-02-09T11:57:24.570Z","2026-07-28T07:34:11.958Z","2026-07-31T07:00:00Z","2026-07-31T07:00:35.998Z","https://typefully.com/?d=8050596&a=188312","x","1","2026-07-31T07:00:35.998Z","https://x.com/Al_Grigor/status/2083085257776238805","2cc0ba9e-1d61-462b-bc42-22e3e1195b09","10 examples of function calling in practice

Function calling lets LLMs connect with tools and take actions using these tools."
"8050596","Function Calling in Action","published","ai-engineering-buildcamp","2026-02-09T11:57:24.570Z","2026-07-28T07:34:11.958Z","2026-07-31T07:00:00Z","2026-07-31T07:00:35.998Z","https://typefully.com/?d=8050596&a=188312","x","2","2026-07-31T07:00:35.998Z","https://x.com/Al_Grigor/status/2083085257776238805","","Quick distinction:

- Function is an implementation in your runtime (Python/JS/API).

- Tool is the contract you register for the LLM (name + typed schema + permissions). A tool is usually backed by one function, but it can orchestrate many."
"8050596","Function Calling in Action","published","ai-engineering-buildcamp","2026-02-09T11:57:24.570Z","2026-07-28T07:34:11.958Z","2026-07-31T07:00:00Z","2026-07-31T07:00:35.998Z","https://typefully.com/?d=8050596&a=188312","x","3","2026-07-31T07:00:35.998Z","https://x.com/Al_Grigor/status/2083085257776238805","","1. Calendar & meetings

- Prompt: ""Book 30 min with Alice tomorrow at 15:00.""
- Tools: create_calendar_event(title, start, attendees)
- Effect: Event created; invite sent."
"8050596","Function Calling in Action","published","ai-engineering-buildcamp","2026-02-09T11:57:24.570Z","2026-07-28T07:34:11.958Z","2026-07-31T07:00:00Z","2026-07-31T07:00:35.998Z","https://typefully.com/?d=8050596&a=188312","x","4","2026-07-31T07:00:35.998Z","https://x.com/Al_Grigor/status/2083085257776238805","","2. Docs & notes

- Prompt: ""Summarize this PDF and save the notes to Notion.""
- Tools: extract_text(file), create_notion_page(title, content)
- Effect: Summary page appears in your workspace."
"8050596","Function Calling in Action","published","ai-engineering-buildcamp","2026-02-09T11:57:24.570Z","2026-07-28T07:34:11.958Z","2026-07-31T07:00:00Z","2026-07-31T07:00:35.998Z","https://typefully.com/?d=8050596&a=188312","x","5","2026-07-31T07:00:35.998Z","https://x.com/Al_Grigor/status/2083085257776238805","","3. CRM & sales ops

- Prompt: “Add this lead and enrich with company data.”
- Tools: create_crm_contact(data), enrich_with_clearbit(email)
- Effect: New contact with firmographics; owner assigned."
"8050596","Function Calling in Action","published","ai-engineering-buildcamp","2026-02-09T11:57:24.570Z","2026-07-28T07:34:11.958Z","2026-07-31T07:00:00Z","2026-07-31T07:00:35.998Z","https://typefully.com/?d=8050596&a=188312","x","6","2026-07-31T07:00:35.998Z","https://x.com/Al_Grigor/status/2083085257776238805","","4. Support triage

- Prompt: “Route this ticket and draft a first reply.”
- Tools: classify_ticket(text), create_ticket(queue), draft_reply(context)
- Effect: Ticket filed to the right queue with a suggested response."
"8050596","Function Calling in Action","published","ai-engineering-buildcamp","2026-02-09T11:57:24.570Z","2026-07-28T07:34:11.958Z","2026-07-31T07:00:00Z","2026-07-31T07:00:35.998Z","https://typefully.com/?d=8050596&a=188312","x","7","2026-07-31T07:00:35.998Z","https://x.com/Al_Grigor/status/2083085257776238805","","5. Data & reporting

- Prompt: “Revenue by region for the last 7 days—export to Sheets.”
- Tools: query_db(sql), create_google_sheet(name, rows)
- Effect: Fresh report in Google Sheets; link returned."
