Date,Relative week,Relative date,Phase,Preferred day,Platform,Post type,Typefully examples,Working title / angle,Audience,Primary CTA,Assets needed,Why this belongs in this phase,Status
TBD,T-12 weeks,T-84 days,Foundation,Monday,Primary social,Problem framing,"",Why {{ course_topic }} matters now,Potential learners,Read the course overview or join the waitlist,Course positioning; market context,This creates relevance before asking people to register. It explains the problem the Zoomcamp exists to solve.,Planned
TBD,T-11 weeks,T-77 days,Foundation,Monday,Primary social,Audience segmentation,career_audience_framing: 7650176 7800561 6951674,Who {{ course_name }} is for and who it is not for,Potential learners,Join the waitlist,Audience list; prerequisites; exclusions,Early audience filtering prevents bad-fit signups and gives later launch posts a clear reader.,Planned
TBD,T-10 weeks,T-70 days,Foundation,Monday,Primary social,Instructor thesis,opinion_principle: 9333232 9176590 8802566,The principle behind how we teach {{ course_topic }},Potential learners,Read the syllabus draft or join the waitlist,Course philosophy; curriculum rationale,A thesis post builds trust and sets expectations before the campaign becomes promotional.,Planned
TBD,T-9 weeks,T-63 days,Foundation,Monday,Primary social,Research question,"",What is hardest about learning {{ course_topic }}?,Potential learners,Comment with questions or blockers,Audience research prompt,This collects real objections and learner language that can shape FAQ and consideration posts.,Planned
TBD,T-8 weeks,T-56 days,Awareness,Monday,Primary social,Coming-soon announcement,interest_validation: 5695158 6814599 7147871,A new cohort of {{ course_name }} is coming,Qualified learners,Join the waitlist or registration list,Start month or confirmed date; waitlist/registration URL,Eight weeks out is early enough to build awareness without exhausting urgency.,Planned
TBD,T-8 weeks,T-54 days,Awareness,Wednesday,Primary social,Main topic explainer,course_positioning_faq: 7147871 7228631 7482218,What is {{ course_topic }} in plain language?,People new to the topic,Read the course overview,Course description; core topics,A plain-language explainer helps people understand the category before deciding whether the course fits.,Planned
TBD,T-8 weeks,T-53 days,Awareness,Thursday,Primary social,Role/pathway post,career_audience_framing: 7650176 7800561 6951674,How {{ course_topic }} helps {{ learner_segment }},Specific learner segment,Join the waitlist or read the syllabus,Audience segments; role outcomes,Role framing makes the course feel relevant to specific learners instead of generic.,Planned
TBD,T-7 weeks,T-49 days,Awareness,Monday,Primary social,Educational micro-lesson,educational_micro_lesson: 9333232 9164504 9341648 9333135,One useful concept from Module 1,Potential learners,Read the module outline,Module 1 topic; one concrete concept,Teaching before selling builds trust and shows the practical level of the course.,Planned
TBD,T-7 weeks,T-47 days,Awareness,Wednesday,Primary social,Misconception correction,opinion_principle: 9333232 9176590 8802566,You do not need {{ common_false_requirement }} to start,Potential learners with doubts,Check prerequisites,Prerequisites; not-required list,This removes top-of-funnel fear before the heavier registration push.,Planned
TBD,T-7 weeks,T-46 days,Awareness,Thursday,Primary social,Tool landscape,"",The tools we use in {{ course_name }} and why,Tool-aware learners,Read the curriculum,Tool list; curriculum map,Tool lists make an abstract course tangible and help learners assess fit.,Planned
